"PA3" "PA5" "PA2" "PA1" "PA4"
"at.nn1.io" 0.516725375767192 0.739132446861968 0.0554673903916077 0.686124492701306 0.0681299330123141
"at.nn1.nn1" 0.383410314931015 0.473652456911811 0.102665189042807 0.027526402505599 0.24871766093262
"at.nn1.vbdz" 0.192432838672072 0.287551688717169 0.0561794327148064 0.144812636119112 0.409643313566667
"at.nn1.y" 0.439230834136705 0.471132469838888 0.401177362021266 0.416705591659883 0.50348495090452
"at.nn2.io" 0.335688221817209 0.512555057184183 0.0137196301671971 0.600295365030907 0.0145762811468841
"at.nn2.y" 0.301520408369681 0.311500636054858 0.188445598811096 0.297047811137225 0.240100061008576
"at1.jj.nn1" 0.701056869916093 0.423573971164392 0.343142320348224 0.428593266644671 0.17582060069534
"at1.nn1.ii" 0.422432315864208 0.345754580480065 0.22203459965888 0.203558942944965 0.292787425646038
"at1.nn1.io" 0.520019620025622 0.432650137607696 0.203611612719392 0.408812652953067 0.160119858636326
"at1.nn1.nn1" 0.400039678547858 0.1644473171637 0.200390811649497 -0.0161710066951509 0.253239577087743
"at1.nn1.y" 0.345181405141421 0.157351484095594 0.502657250646943 0.29588962429881 0.320178469130369
"cc.at.nn1" 0.300584845604354 0.394678736710419 0.127808947278392 0.396772806232683 0.116542609309306
"cc.jj.nn1" 0.406146467218512 0.299367219424108 0.0455684200785698 0.402042948699394 -0.0972154914177226
"ii.appge.nn1" 0.27943633120882 0.163478598762958 0.477961662629805 0.371978921645593 0.448287577987985
"ii.appge.nn2" 0.219340829136675 0.15470105984178 0.298283637806278 0.334953987469866 0.230611381971453
"ii.at.jj" 0.559072282682929 0.499454915527842 0.0595086549405962 0.41723419787547 0.128259379719022
"ii.at.nn1" 0.549507020752486 0.663049279103211 0.292580568101321 0.46180504495989 0.481825764353131
"ii.at.nn2" 0.357796359125392 0.451510046527856 0.109370145589921 0.423509626802349 0.205883809378009
"ii.at1.jj" 0.484009372240899 0.262912593290646 0.165156425530991 0.269679249477114 0.143002169428407
"ii.at1.nn1" 0.49328745793701 0.356460584325131 0.258612525034788 0.256014000856152 0.30126133646019
"ii.dd1.nn1" 0.250518952835019 0.434892681569215 0.163768545469978 0.356688490209312 0.0204100893058936
"ii.jj.nn2" 0.439448937593272 0.371005748191588 0.0505556514452433 0.226463861725709 -0.0863791323520864
"ii.nn1.y" 0.47640317545875 0.339105503629204 0.311483907467984 0.380840628186936 0.106200427883915
"ii.np1.y" 0.403221462820629 0.170623052924016 0.0580826238202219 0.0908374792253488 0.236207964119726
"io.appge.nn1" 0.243535975184204 0.198515671864911 0.235114145156339 0.453453929480607 0.222853613173397
"io.at.jj" 0.410213570750552 0.496971597240598 -0.0736989180455221 0.39947422004347 0.0272857063097565
"io.at.nn1" 0.384272989635165 0.693617680121153 -0.0118594529537136 0.481832519831809 0.18412281375834
"io.at.nn2" 0.246850837951162 0.456439544742805 0.0146036096228533 0.374125377546733 0.101823973557512
"io.jj.nn1" 0.445607650123153 0.357551969835252 0.0302830506647165 0.415877682549185 -0.119347542467585
"io.nn1.y" 0.408485690684831 0.367949850538173 0.155887238336404 0.585291387032096 -0.0350319057100936
"jj.cc.jj" 0.368141718281884 0.296326107058565 0.121554299828975 0.495937007480173 -0.0983583316708872
"jj.jj.nn1" 0.506707090234547 0.263497184324495 0.0718802023213064 0.187755355158111 0.0423329065549776
"jj.nn1.cc" 0.440118323029996 0.282344216590872 0.121028488262975 0.313032416692662 0.0167254116182109
"jj.nn1.ii" 0.621975422165333 0.476432087625625 0.100372979357324 0.336760064225781 0.0863863911138721
"jj.nn1.io" 0.583883024511225 0.520067646045149 0.0474560277520517 0.597712842237649 -0.0304156103021896
"jj.nn1.nn1" 0.493848802428585 0.286698128846946 0.067817881397775 -0.023274716120767 0.0891792260892956
"jj.nn1.y" 0.722857602910793 0.424577129446953 0.310180224781674 0.587050484983819 0.116453080848772
"jj.nn2.ii" 0.47364372011619 0.378000589082997 0.0360420625131533 0.190985876276158 -0.010090075732454
"jj.nn2.io" 0.409570307018402 0.390931009564233 -0.00611373724649507 0.479434524100857 -0.0820235101952951
"jj.nn2.y" 0.629041208554228 0.418443304537853 0.159887592116222 0.407215713644104 -0.0610225678368559
"jj.to.vvi" 0.30204516592835 0.381584680116539 0.275726480269408 0.269296108496659 -0.0832141779692549
"nn1.cc.nn1" 0.459049294314154 0.349011473299774 0.109475714147977 0.448619291000783 -0.0501512681315433
"nn1.ge.nn1" 0.331771223864086 0.234533303922179 0.164740738922017 0.102206242608494 0.246089125587891
"nn1.ii.appge" 0.260419779250162 0.147118830907892 0.345682674935002 0.31087750589364 0.310317533023861
"nn1.ii.at" 0.567777549309309 0.626999143553789 0.113647124862072 0.367275363255858 0.31248927168575
"nn1.ii.at1" 0.393210939432617 0.220761665546795 0.151322868761526 0.169383149994927 0.184482802709353
"nn1.ii.nn1" 0.419883875506137 0.355462967464022 0.117107388913756 0.216739771898972 0.0245139521645481
"nn1.ii.np1" 0.437046506070488 0.222625641977314 0.0340115270644487 0.0466960059052824 0.238247411803543
"nn1.io.appge" 0.278952706786316 0.246600387120122 0.215312315015715 0.519578374561518 0.166763642283978
"nn1.io.at" 0.457590799872542 0.719677894517987 -0.0513794645522923 0.516134918791228 0.158424204621362
"nn1.io.at1" 0.382003973046802 0.327591712405099 0.0926909338215159 0.343632690852317 0.0967950663088442
"nn1.io.jj" 0.505665390961431 0.396303329237393 0.0272332984394827 0.387072686073052 -0.113002337385721
"nn1.io.nn1" 0.519630408011941 0.538706126291735 0.14687462896303 0.545737076441878 -0.0398113672649072
"nn1.io.nn2" 0.389243314341617 0.445202655981882 0.0615201667465157 0.334443959381447 -0.00251560959562101
"nn1.io.np1" 0.380027711036698 0.240263289911034 -0.0541711799380632 0.200139560322412 0.178770083798931
"nn1.nn1.y" 0.552790589301849 0.314161466966061 0.18497620324884 -0.00563559154726702 0.238001685923519
"nn1.to.vvi" 0.41912443540168 0.522220650784628 0.213568953404155 0.173453979080303 0.105038263773469
"nn1.vm.vvi" 0.301837754599411 0.470075899975459 0.153541184780859 0.138995166911749 -0.101451979478809
"nn1.y.QUOTE" 0.321326638425008 0.162378922618201 0.46076762479475 0.0431562116117889 0.435263687313422
